,count,count
506,"['note', 'bank note', 'bank note; 1777 02 26']",2
507,['watches'],2
508,"['signs (declaratory or advertising artifacts)', 'shop signs']",2
509,"['bottle & stopper; bottle; pharmaceutical container', 'bottles']",2
510,"['apron, fraternal', 'apron, masonic']",2
511,"['note', 'bank note; 1775 05 25', 'bank note']",2
512,"['figurine, group']",2
513,['trunks (containers)'],2
514,['windows'],2
515,"['note', 'bank note; 1775 06 01', 'bank note']",2
516,['pestles'],2
517,['field telescope and case'],2
518,"['note', 'bank note; 1774 04 10', 'bank note']",2
519,['type case'],2
520,"['bottle; bottle & stopper; pharmaceutical container', 'bottles']",2
521,"['print; engraving, stipple', 'prints']",2
522,"['cutlass; edged weapons; navy', 'cutlasses']",2
523,"['jar, leech, apothecary', 'leech jar; materia medica; containers', 'leech jars']",2
524,"['print; intaglio; engraving, stipple', 'prints']",2
525,"['fraktur', 'documents', 'pen and ink', 'certificates', 'letterpress']",2
526,"['sundial', 'sundial, horizontal portable']",2
527,"['bottles', 'flasks (bottles)']",2
528,['shields (armor)'],2
529,['bracelets (jewelry)'],2
530,"['engine, steam', 'engine, steam, model']",2
531,['postage stamps'],2
532,"['cross, rounded', 'cross, rounded; historical']",2
533,['pantograph'],2
534,"['note', 'bank note', 'bank note; 1771 12 00']",2
535,"['medal; indian peace, washington; presidential', 'medals']",2
536,"['note', 'bank note; 1776 12 23', 'bank note']",2
537,"['medal; commemorative; personal; comitia americana', 'medals']",2
538,"['folk art', 'drawings']",2
539,"['note', 'paper money', 'bank note', 'bank note; 1776 04 02']",2
540,"['chair, rocking']",2
541,"['figure, female', 'model, anatomical, fetus in utero', 'models', 'wax obstetric model', 'figure, female; medicine', 'wax']",2
542,"['uncut sheet', 'note']",1
543,['school tax record'],1
544,"['note', 'bank note', 'bank note; 1781 05 07']",1
545,['rings (object genres)'],1
546,"['stand, teapot']",1
547,"['note', 'bank note; 1780 10 16', 'bank note']",1
548,"['cups', ""cup, child's""]",1
549,"['note', 'bank note', 'bank note; 1786 05 00']",1
550,"['stand, cruet']",1
