EDANurl,object_types_str,canonical_type_auto,action_family_auto,canonical_type_manual,action_family_manual
edanmdm:nmah_994283,['jars'],jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_994282,"['jar; pharmaceutical container', 'jars']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_994281,['jars'],jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_994279,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_994276,['jars'],jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_994274,"['jar; pharmaceutical container', 'jars']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_994270,"['jar; pharmaceutical container', 'jars']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_994269,"['jar; pharmaceutical container', 'jars']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_994268,"['jar; pharmaceutical container', 'jars']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_994267,"['jar; pharmaceutical container', 'jars']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_994266,['syrup jar'],syrup jars,"Contain, store & preserve",syrup jars,Heal & care
edanmdm:nmah_994264,"['syrup jar', 'jar; pharmaceutical container']",jar; pharmaceutical containers,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_994262,"['syrup jar', 'jar; pharmaceutical container']",jar; pharmaceutical containers,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_994260,['syrup jar'],syrup jars,"Contain, store & preserve",syrup jars,Heal & care
edanmdm:nmah_994258,"['syrup jar', 'jar; pharmaceutical container']",jar; pharmaceutical containers,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_994257,['syrup jar'],syrup jars,"Contain, store & preserve",syrup jars,Heal & care
edanmdm:nmah_994255,"['syrup jar', 'jar; pharmaceutical container', 'jars']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_994254,"['syrup jar', 'jar; pharmaceutical container']",jar; pharmaceutical containers,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_994253,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_994252,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_994251,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_994250,"['jar; pharmaceutical container', 'jars']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_994249,['jars'],jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_994247,['jars'],jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_994246,"['jar; pharmaceutical container; syrup', 'jars']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_994245,"['syrup jar', 'jar; pharmaceutical container']",jar; pharmaceutical containers,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_994244,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_994243,['jars'],jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_994242,['jars'],jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_994240,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_994239,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_994237,['jars'],jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_994234,"['syrup jar', 'syrup jar', 'jars']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_994233,['jars'],jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
